City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,mafinga,-7.25,35.0667,25.15,44,49,4.86,TZ,1692123775
232,gaitania,3.0906,-75.6723,27.11,59,76,1.87,CO,1692123775
233,mandalgovi,45.7625,106.2708,19.5,55,84,3.37,MN,1692123776
234,buka,40.8108,69.1986,18.03,21,0,1.03,UZ,1692123776
235,badger,64.8,-147.5333,18.41,76,40,1.54,US,1692123776
236,novodvinsk,64.4165,40.8122,14.01,97,42,1.44,RU,1692123776
237,tsiroanomandidy,-18.7667,46.0333,20.73,56,72,1.01,MG,1692123776
238,mahina,-17.5065,-149.489,24.87,73,75,1.03,PF,1692123776
239,westport,41.1415,-73.3579,26.16,84,100,3.6,US,1692123513
240,erenhot,43.6475,111.9767,25.05,44,0,5.46,CN,1692123777
241,porto novo,6.4965,2.6036,24.9,81,68,3.08,BJ,1692123777
242,hasaki,35.7333,140.8333,27.39,87,99,5.69,JP,1692123777
243,viedma,-40.8135,-62.9967,18.46,32,100,5.3,AR,1692123777
244,nagqu,31.5,92.0,6.22,92,100,1.15,CN,1692123778
245,susuman,62.7833,148.1667,12.19,82,100,2.36,RU,1692123778
246,apastepeque,13.6667,-88.7833,28.34,68,100,0.85,SV,1692123778
247,thunder bay,48.4001,-89.3168,26.95,44,75,6.17,CA,1692123779
248,acarau,-2.8856,-40.12,29.59,58,84,9.41,BR,1692123779
249,kadnikov,59.5022,40.338,17.16,91,38,2.64,RU,1692123779
250,woodward,36.4337,-99.3904,29.98,39,0,3.09,US,1692123733
251,kupang,-10.1667,123.5833,23.22,86,10,3.92,ID,1692123779
252,kavaratti,10.5669,72.642,28.05,73,47,4.77,IN,1692123780
253,portland,45.5234,-122.6762,34.32,42,75,2.06,US,1692123515
254,saipan,15.1355,145.701,26.47,100,40,0.45,MP,1692123780
255,canto do buriti,-8.11,-42.9444,34.36,24,9,4.33,BR,1692123780
256,port blair,11.6667,92.75,27.02,94,100,3.09,IN,1692123781
257,heihe,50.2441,127.4902,18.32,90,91,1.65,CN,1692123781
